"jmdict_seq","kanji","kana","waller_definition","origin","original"
1275640,"口","くち","mouth, opening","waller",
1246700,"靴","くつ","Shoes","waller",
1246700,,"くつ","Shoes","jmdict","靴"
1246740,"靴下","くつした","Socks","waller",
1246740,"くつ下","くつした","Socks","jmdict","靴下"
1246740,,"くつした","Socks","jmdict","靴下"
1592250,"国","くに","Country","waller",
1592250,,"くに","Country","jmdict","国"
1592340,"曇り","くもり","cloudy weather","waller",
1592340,"曇","くもり","cloudy weather","jmdict","曇り"
1457560,"曇る","くもる","to become cloudy, to become dim","waller",
1154330,"暗い","くらい","Gloomy","waller",
1154330,,"くらい","Gloomy","jmdict","暗い"
1044070,,"クラス","Class","waller",
1046810,,"グラム","Gram","waller",
1046810,,"グラム","Gram","jmdict","グラム"
1547720,"来る","くる","to come","waller",
1547720,,"くる","to come","jmdict","来る"
1323080,"車","くるま","car, vehicle","waller",
1287410,"黒","くろ","Black","waller",
1287420,"黒い","くろい","black","waller",
1252330,"警官","けいかん","policeman","waller",
1579100,"今朝","けさ","this morning","waller",
1579100,"今朝","こんちょう","this morning","jmdict","けさ"
1350110,"消す","けす","to erase, to turn off power","waller",
1254760,"結構","けっこう","splendid, enough","waller",
1254790,"結婚","けっこん","Marriage","waller",
1255890,"月曜日","げつようび","Monday","waller",
1263400,"玄関","げんかん","entry hall","waller",
1263400,,"げんかん","entry hall","jmdict","玄関"
1260720,"元気","げんき","health, vitality","waller",
1268060,"五","ご","Five","waller",
1268060,"五","いつ","Five","jmdict","ご"
1268060,"五","い","Five","jmdict","ご"
1268060,"５","ご","Five","jmdict","五"
1268060,"５","いつ","Five","jmdict","五"
1268060,"５","い","Five","jmdict","五"
1268060,,"ご","Five","jmdict","五"
1268060,,"いつ","Five","jmdict","五"
1268060,,"い","Five","jmdict","五"
1273270,"公園","こうえん","Park","waller",
1592970,"交差点","こうさてん","intersection","waller",
1592970,,"こうさてん","intersection","jmdict","交差点"
1280770,"紅茶","こうちゃ","black tea","waller",
1272500,"交番","こうばん","police box","waller",
1380440,"声","こえ","Voice","waller",
1380440,,"こえ","Voice","jmdict","声"
1049000,,"コート","coat, tennis court","waller",
1049180,,"コーヒー","Coffee","waller",
1049180,,"コーヒー","Coffee","jmdict","コーヒー"
1288810,"此処","ここ","Here","waller",
1288810,,"ここ","Here","jmdict","此処"
1268990,"午後","ごご","afternoon","waller",
1268990,,"ごご","afternoon","jmdict","午後"
1243850,"九日","ここのか","nine days, ninth day","waller",
1243850,"九日","ここぬか","nine days, ninth day","jmdict","ここのか"
1243850,"９日","ここのか","nine days, ninth day","jmdict","九日"
1243850,"９日","ここぬか","nine days, ninth day","jmdict","九日"
1243600,"九つ","ここのつ","Nine","waller",
1243600,"９つ","ここのつ","Nine","jmdict","九つ"
1269060,"午前","ごぜん","morning","waller",
1449540,"答える","こたえる","to answer","waller",
1004500,,"こちら","this person or way","waller",
1004500,,"こちら","this person or way","jmdict","こっち"
1004500,,"こっち","this person or way","jmdict","此方"
1004500,,"こち","this person or way","jmdict","此方"
1004500,,"こち","this person or way","jmdict","こっち・こちら"
1004500,"此方","こっち","this person or way","waller",
1050390,,"コップ","a glass","waller",
1579130,"今年","ことし","this year","waller",
1579130,"今年","こんねん","this year","jmdict","ことし"
1264540,"言葉","ことば","word, language","waller",
1264540,"言葉","けとば","word, language","jmdict","ことば"
1264540,,"ことば","word, language","jmdict","言葉"
1307850,"子供","こども","Child","waller",
1307850,"子ども","こども","Child","jmdict","子供"
1307850,,"こども","Child","jmdict","子供"
1582920,"此の","この","This","waller",
1582920,,"この","This","jmdict","此の"
1582920,,"こん","This","jmdict","此の"
1270590,"御飯","ごはん","cooked rice, meal","waller",
1270590,"ご飯","ごはん","cooked rice, meal","jmdict","御飯"
1050590,,"コピー","to copy","waller",
1289590,"困る","こまる","to be worried","waller",
2216120,,"これ","Hey, come on, look, listen","waller",
1628530,此れ,"これ","This","waller",
1628530,此,"これ","This","waller",
1289100,"今月","こんげつ","this month","waller",
1289220,"今週","こんしゅう","this week","waller",
1004880,,"こんな","Such","waller",
1289470,"今晩","こんばん","this evening","waller",
1005110,,"さあ","well…","waller",
1005110,,"さー","well…","jmdict","さあ"
1005110,,"さぁ","well…","jmdict","さあ"
1296970,"財布","さいふ","Wallet","waller",
1578010,"魚","さかな","Fish","waller",
1578010,"魚","うお","Fish","jmdict","さかな"
1387210,"先","さき","the future, previous","waller",
1387210,,"さき","the future, previous","jmdict","先"
1387210,"先き","さき","the future, previous","jmdict","先"
1297210,"咲く","さく","to bloom","waller",
1297960,"作文","さくぶん","composition, writing","waller",
1291330,"差す","さす","to stretch out hands, to raise an umbrella","waller",
1299400,"雑誌","ざっし","Magazine","waller",
1291600,"砂糖","さとう","Sugar","waller",
1210360,"寒い","さむい","Cold","waller",
1210360,"寒い","さぶい","Cold","jmdict","さむい"
1293660,"さ来年","さらいねん","year after next","waller",
1293660,,"さらいねん","year after next","jmdict","さ来年"
1579350,"三","さん","Three","waller",
1579350,"三","み","Three","jmdict","さん"
1579350,"３","さん","Three","jmdict","三"
1579350,"３","み","Three","jmdict","三"
1579350,,"さん","Three","jmdict","三"
1579350,,"み","Three","jmdict","三"
1303620,"散歩","さんぽ","to stroll","waller",
1579470,"四","し","Four","waller",
1579470,"四","よ","Four","jmdict","よん・し"
1579470,"４","し","Four","jmdict","四"
1579470,,"し","Four","jmdict","四"
1579470,"四","よん","Four","waller",
1576630,"塩","しお","Salt","waller",
1505990,"然し","しかし","However","waller",
1505990,,"しかし","However","jmdict","然し"
1315920,"時間","じかん","Time","waller",
1304970,"仕事","しごと","Job","waller",
1318970,"辞書","じしょ","Dictionary","waller",
1381820,"静か","しずか","Quiet","waller",
1381820,,"しずか","Quiet","jmdict","静か"
1184140,"下","した","Below","waller",
1319210,"七","しち","Seven","waller",
1319210,"七","ひち","Seven","jmdict","しち・なな"
1319210,"七","な","Seven","jmdict","しち・なな"
1319210,"７","しち","Seven","jmdict","七"
1319210,"７","なな","Seven","jmdict","七"
1319210,"７","ひち","Seven","jmdict","七"
1319210,"７","な","Seven","jmdict","七"
1319210,,"しち","Seven","jmdict","七"
1319210,,"なな","Seven","jmdict","七"
1319210,,"ひち","Seven","jmdict","七"
1319210,,"な","Seven","jmdict","七"
1319210,"七","なな","Seven","waller",
1320760,"質問","しつもん","Question","waller",
1318290,"自転車","じてんしゃ","Bicycle","waller",
1318290,"自転車","じでんしゃ","Bicycle","jmdict","じてんしゃ"
1318400,"自動車","じどうしゃ","Automobile","waller",
1310730,"死ぬ","しぬ","to die","waller",
1315140,"字引","じびき","Dictionary","waller",
1315140,"字引き","じびき","Dictionary","jmdict","字引"
1318610,"自分","じぶん","Oneself","waller",
1436560,"閉まる","しまる","to close, to be closed","waller",
1436560,,"しまる","to close, to be closed","jmdict","閉まる"
1508590,"閉める","しめる","to close something","waller",
1436570,"締める","しめる","to tie","waller",
1005900,,"じゃ","well then…","waller",
1005900,,"じゃあ","well then…","waller",
1321900,"写真","しゃしん","photograph","waller",
1321900,,"しゃしん","photograph","jmdict","写真"
1061520,,"シャツ","Shirt","waller",
1061820,,"シャワー","Shower","waller",
1579840,"十","じゅう","Ten","waller",
