"jmdict_seq","kanji","kana","waller_definition","origin","original"
1004690,"この間","このあいだ","the other day,recently","jmdict","このあいだ"
1004690,"この間","このかん","the other day,recently","jmdict","このあいだ"
1004690,,"このあいだ","the other day,recently","jmdict","このあいだ"
1004690,,"このかん","the other day,recently","jmdict","このあいだ"
1004710,,"このごろ","these days,nowadays","waller",
1004710,,"このごろ","these days,nowadays","jmdict","このごろ"
1295530,,"こまかい","small, fine","waller",
1369900,,"ごみ","rubbish","waller",
1369900,,"ごみ","rubbish","jmdict","塵"
1369900,,"ゴミ","rubbish","jmdict","塵"
1593410,"込む","こむ","to be crowded","waller",
1508750,"米","こめ","uncooked rice","waller",
1508750,"米","めめ","uncooked rice","jmdict","こめ"
1508750,,"コメ","uncooked rice","jmdict","米"
2217040,,"ごらんになる","(respectful) to see","waller",
2217040,,"ごらんになる","(respectful) to see","jmdict","ごらんになる"
1004790,,"これから","after this","waller",
1004790,,"これから","after this","jmdict","これから"
1593480,"怖い","こわい","frightening","waller",
1593480,"恐い","こわい","frightening","jmdict","怖い"
1199890,,"こわす","to break","waller",
1199890,,"こわす","to break","jmdict","壊す"
1199900,,"こわれる","to be broken","waller",
1199900,,"こわれる","to be broken","jmdict","壊れる"
1051970,,"コンサート","concert","waller",
1289370,"今度","こんど","now,next time","waller",
1053350,,"コンピュータ","computer","waller",
1053350,,"コンピューター","computer","waller",
1289520,"今夜","こんや","tonight","waller",
1293780,"最近","さいきん","latest,nowadays","waller",
1293810,"最後","さいご","last,end","waller",
1293990,"最初","さいしょ","beginning,first","waller",
1297110,,"さか","slope,hill","waller",
1297110,,"さか","slope,hill","jmdict","坂"
1593670,"探す","さがす","to look for","waller",
1593670,,"さがす","to look for","jmdict","探す"
1184160,"下る","さがる","to get down,to descend","waller",
1184160,"下がる","さがる","to get down,to descend","jmdict","下る"
1379750,,"さかん","popularity,prosperous","waller",
1379750,,"さかん","popularity,prosperous","jmdict","盛ん"
1184170,"下げる","さげる","to hang,to lower,to move back","waller",
1291270,"差し上げる","さしあげる","(polite) to give","waller",
1291270,"差上げる","さしあげる","(polite) to give","jmdict","差し上げる"
1291270,"さし上げる","さしあげる","(polite) to give","jmdict","差し上げる"
1005180,"先","さっき","some time ago","waller",
1005180,,"さっき","some time ago","jmdict","先"
1579720,,"さびしい","lonely","waller",
1579720,,"さみしい","lonely","jmdict","さびしい"
1579720,,"さびしい","lonely","jmdict","寂しい"
1579720,,"さみしい","lonely","jmdict","寂しい"
1293640,"さ来月","さらいげつ","the month after next","waller",
1293640,,"さらいげつ","the month after next","jmdict","さ来月"
1293650,"さ来週","さらいしゅう","the week after next","waller",
1293650,,"さらいしゅう","the week after next","jmdict","さ来週"
1057850,,"サラダ","salad","waller",
1403040,,"さわぐ","to make noise,to be excited","waller",
1403040,,"さわぐ","to make noise,to be excited","jmdict","騒ぐ"
1357980,,"さわる","to touch","waller",
1303770,"産業","さんぎょう","industry","waller",
1058480,,"サンダル","sandal","waller",
1058580,,"サンドイッチ","sandwich","waller",
1058580,,"サンドウィッチ","sandwich","jmdict","サンドイッチ"
1304680,"残念","ざんねん","disappointment","waller",
1308090,"市","し","city","waller",
1315130,"字","じ","character","waller",
1312420,"試合","しあい","match,game","waller",
1312420,"仕合","しあい","match,game","jmdict","試合"
1594110,"仕方","しかた","method","waller",
